source_corpus,name_raw,name_normalized,is_arabic
sanadset,مُكْرَمُ بْنُ أَحْمَدَ بْنِ مُكْرَمٍ,مكرم بن احمد بن مكرم,True
sanadset,سَيَّارُ بْنُ سَلامَةَ,سيار بن سلامه,True
sanadset,أَحْمَدُ بْنُ إِبْرَاهِيمَ,احمد بن ابراهيم,True
thaqalayn,7 حدثني محمد بن عبد الله عن ابيه عن علي بن محمد بن سالم عن محمد بن خالد عن عبد الله بن حماد البصري عن عبد الله بن عبد الرحمن الاصم عن عبد الله بن مسكان عن ابي بصير قال كنت عند ابي عبد الله (ع) احدثه فدخل عليه ابنه فقال له مرحبا و ضمه و قبله و قال حقر الله من حقركم و انتقم ممن وتركم و خذل الله من خذلكم و لعن الله من قتلكم و كان الله لكم وليا و حافظا و ناصرا فقد طال بكاء النساء و بكاء الانبياء- و الصديقين و الشهداء و ملاءكه السماء ثم بكى و قال يا ابا بصير اذا نظرت الى ولد الحسين اتاني ما لا املكه بما اتى الى ابيهم و اليهم يا ابا بصير ان فاطمه (ع) لتبكيه و تشهق فتزفر جهنم زفره لو لا ان الخزنه يسمعون بكاءها و قد استعدوا لذلك مخافه ان يخرج منها عنق- او يشرد دخانها فيحرق اهل الارض فيحفظونها [فيكبحونها] ما دامت باكيه و يزجرونها و يوثقون من ابوابها مخافه على اهل الارض فلا تسكن حتى يسكن صوت فاطمه الزهراء و ان البحار تكاد ان تنفتق فيدخل بعضها على بعض و ما منها قطره الا بها ملك موكل فاذا سمع الملك صوتها اطفا نارها باجنحته و حبس بعضها على بعض مخافه على الدنيا و ما فيها و من على الارض فلا تزال الملاءكه مشفقين يبكونه لبكاءها و يدعون الله و يتضرعون اليه و يتضرع اهل العرش و من حوله و ترتفع اصوات من الملاءكه بالتقديس لله مخافه على اهل الارض و لو ان صوتا من اصواتهم يصل الى الارض لصعق اهل الارض و تقطعت الجبال و زلزلت الارض باهلها قلت جعلت فداك ان هذا الامر عظيم قال غيره اعظم منه ما لم تسمعه ثم قال لي يا ابا بصير ا ما تحب ان تكون فيمن يسعد فاطمه (ع) فبكيت حين قالها فما قدرت على المنطق و ما قدر على كلامي من البكاء ثم قام الى المصلى يدعو- فخرجت من عنده على تلك الحال فما انتفعت بطعام و ما جاءني النوم و اصبحت صاءما وجلا حتى اتيته فلما رايته قد سكن سكنت و حمدت الله حيث لم تنزل بي عقوبه,7 حدثني محمد بن عبد الله عن ابيه عن علي بن محمد بن سالم عن محمد بن خالد عن عبد الله بن حماد البصري عن عبد الله بن عبد الرحمن الاصم عن عبد الله بن مسكان عن ابي بصير قال كنت عند ابي عبد الله (ع) احدثه فدخل عليه ابنه فقال له مرحبا و ضمه و قبله و قال حقر الله من حقركم و انتقم ممن وتركم و خذل الله من خذلكم و لعن الله من قتلكم و كان الله لكم وليا و حافظا و ناصرا فقد طال بكاء النساء و بكاء الانبياء- و الصديقين و الشهداء و ملاءكه السماء ثم بكى و قال يا ابا بصير اذا نظرت الى ولد الحسين اتاني ما لا املكه بما اتى الى ابيهم و اليهم يا ابا بصير ان فاطمه (ع) لتبكيه و تشهق فتزفر جهنم زفره لو لا ان الخزنه يسمعون بكاءها و قد استعدوا لذلك مخافه ان يخرج منها عنق- او يشرد دخانها فيحرق اهل الارض فيحفظونها [فيكبحونها] ما دامت باكيه و يزجرونها و يوثقون من ابوابها مخافه على اهل الارض فلا تسكن حتى يسكن صوت فاطمه الزهراء و ان البحار تكاد ان تنفتق فيدخل بعضها على بعض و ما منها قطره الا بها ملك موكل فاذا سمع الملك صوتها اطفا نارها باجنحته و حبس بعضها على بعض مخافه على الدنيا و ما فيها و من على الارض فلا تزال الملاءكه مشفقين يبكونه لبكاءها و يدعون الله و يتضرعون اليه و يتضرع اهل العرش و من حوله و ترتفع اصوات من الملاءكه بالتقديس لله مخافه على اهل الارض و لو ان صوتا من اصواتهم يصل الى الارض لصعق اهل الارض و تقطعت الجبال و زلزلت الارض باهلها قلت جعلت فداك ان هذا الامر عظيم قال غيره اعظم منه ما لم تسمعه ثم قال لي يا ابا بصير ا ما تحب ان تكون فيمن يسعد فاطمه (ع) فبكيت حين قالها فما قدرت على المنطق و ما قدر على كلامي من البكاء ثم قام الى المصلى يدعو- فخرجت من عنده على تلك الحال فما انتفعت بطعام و ما جاءني النوم و اصبحت صاءما وجلا حتى اتيته فلما رايته قد سكن سكنت و حمدت الله حيث لم تنزل بي عقوبه,True
sanadset,عُلَيْمٍ الْكِنْدِيِّ,عليم الكندي,True
sanadset,أَحْمَدُ بْنُ جَعْفَرٍ,احمد بن جعفر,True
sanadset,أَبُو الْقَاسِمِ يَحْيَى بْنُ عَلِيٍّ الْقَصْرِيُّ,ابو القاسم يحيى بن علي القصري,True
sanadset,عَبْدُ اللَّهِ بْنُ صَالِحٍ,عبد الله بن صالح,True
thaqalayn,: حدثني ابي جعفر بن محمد,: حدثني ابي جعفر بن محمد,True
sanadset,عَمْرَةُ بْنُ عَوْنٍ,عمره بن عون,True
